symbol,name,market,avg_volume_20,avg_value_20,foreign_own,per,pbr,roe,ma_cross_score,rsi_14,obv_slope,tags,theme_tags
005930,SamsungElec,KOSPI,18000000,120000000000,52.1,12.4,1.3,15.2,0.62,56,0.45,semiconductor|bluechip,ai|memory
000660,SKHynix,KOSPI,9000000,95000000000,48.9,18.6,1.8,12.5,0.71,61,0.52,semiconductor|memory,ai|hbm
035420,Naver,KOSPI,1200000,4500000000,35.0,28.1,2.0,8.9,0.48,49,0.22,platform|internet,ai|search
035720,Kakao,KOSPI,1500000,3800000000,31.4,44.2,1.6,4.3,0.38,46,-0.05,platform|content,ai|chat
068270,Celltrion,KOSPI,700000,2200000000,23.7,25.5,2.4,9.1,0.57,53,0.18,bio|health,biotech
051910,LGChem,KOSPI,500000,4200000000,28.3,16.8,1.1,10.2,0.44,47,0.06,battery|chem,ev|battery
005380,HyundaiMotor,KOSPI,600000,5200000000,41.0,8.9,0.7,11.4,0.51,58,0.28,auto|export,ev|mobility
006400,SamSunSDI,KOSPI,420000,3100000000,39.8,19.2,1.4,13.8,0.59,63,0.35,battery|materials,ev|battery
TSLA,Tesla,NASDAQ,120000000,30000000000,0.0,62.5,10.2,19.5,0.66,68,0.74,ev|growth,ev|ai
NVDA,Nvidia,NASDAQ,45000000,28000000000,0.0,54.1,18.3,40.6,0.83,72,0.91,semiconductor|ai,ai|datacenter
AAPL,Apple,NASDAQ,56000000,17000000000,0.0,29.4,7.6,28.3,0.58,55,0.30,consumer|ecosystem,ai|device
JPM,JPMorgan,NYSE,16000000,2600000000,0.0,11.2,1.4,16.9,0.42,52,0.12,financial|dividend,macro|rate
